mes,borough,payment_method,fare_class_category,ridership
2020-04,Bronx,metrocard,Metrocard - Full Fare,850352
2020-04,Bronx,metrocard,Metrocard - Other,250456
2020-04,Bronx,metrocard,Metrocard - Seniors & Disability,58816
2020-04,Bronx,metrocard,Metrocard - Students,68826
2020-04,Bronx,metrocard,Metrocard - Unlimited 30-Day,262113
2020-04,Bronx,metrocard,Metrocard - Unlimited 7-Day,436225
2020-04,Bronx,omny,OMNY - Full Fare,61183
2020-04,Brooklyn,metrocard,Metrocard - Fair Fare,120238
2020-04,Brooklyn,metrocard,Metrocard - Full Fare,1523396
2020-04,Brooklyn,metrocard,Metrocard - Other,375089
2020-04,Brooklyn,metrocard,Metrocard - Seniors & Disability,124425
2020-04,Brooklyn,metrocard,Metrocard - Students,83842
2020-04,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,489380
2020-04,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,587936
2020-04,Brooklyn,omny,OMNY - Full Fare,20230
2020-04,Manhattan,metrocard,Metrocard - Fair Fare,155346
2020-04,Manhattan,metrocard,Metrocard - Full Fare,1974410
2020-04,Manhattan,metrocard,Metrocard - Other,555922
2020-04,Manhattan,metrocard,Metrocard - Seniors & Disability,165521
2020-04,Manhattan,metrocard,Metrocard - Students,77959
2020-04,Manhattan,metrocard,Metrocard - Unlimited 30-Day,764835
2020-04,Manhattan,metrocard,Metrocard - Unlimited 7-Day,864748
2020-04,Manhattan,omny,OMNY - Full Fare,163637
2020-04,Queens,metrocard,Metrocard - Fair Fare,43231
2020-04,Queens,metrocard,Metrocard - Full Fare,950289
2020-04,Queens,metrocard,Metrocard - Other,212402
2020-04,Queens,metrocard,Metrocard - Seniors & Disability,63435
2020-04,Queens,metrocard,Metrocard - Students,37815
2020-04,Queens,metrocard,Metrocard - Unlimited 30-Day,270030
2020-04,Queens,metrocard,Metrocard - Unlimited 7-Day,326798
2020-04,Queens,omny,OMNY - Full Fare,7423
2020-04,Staten Island,metrocard,Metrocard - Fair Fare,583
2020-04,Staten Island,metrocard,Metrocard - Full Fare,12080
2020-04,Staten Island,metrocard,Metrocard - Other,4680
2020-04,Staten Island,metrocard,Metrocard - Seniors & Disability,916
2020-04,Staten Island,metrocard,Metrocard - Students,154
2020-04,Staten Island,metrocard,Metrocard - Unlimited 30-Day,1742
2020-04,Staten Island,metrocard,Metrocard - Unlimited 7-Day,2055
2020-04,Staten Island,omny,OMNY - Full Fare,629
2020-05,Bronx,metrocard,Metrocard - Fair Fare,122754
2020-05,Bronx,metrocard,Metrocard - Full Fare,1169349
2020-05,Bronx,metrocard,Metrocard - Other,250879
2020-05,Bronx,metrocard,Metrocard - Seniors & Disability,75046
2020-05,Bronx,metrocard,Metrocard - Students,84237
2020-05,Bronx,metrocard,Metrocard - Unlimited 30-Day,252993
2020-05,Bronx,metrocard,Metrocard - Unlimited 7-Day,471873
2020-05,Bronx,omny,OMNY - Full Fare,96949
2020-05,Brooklyn,metrocard,Metrocard - Fair Fare,155377
2020-05,Brooklyn,metrocard,Metrocard - Full Fare,2219961
2020-05,Brooklyn,metrocard,Metrocard - Other,417919
2020-05,Brooklyn,metrocard,Metrocard - Seniors & Disability,167045
2020-05,Brooklyn,metrocard,Metrocard - Students,110902
2020-05,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,480017
2020-05,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,659448
2020-05,Brooklyn,omny,OMNY - Full Fare,34003
2020-05,Manhattan,metrocard,Metrocard - Fair Fare,198839
2020-05,Manhattan,metrocard,Metrocard - Full Fare,2931770
2020-05,Manhattan,metrocard,Metrocard - Other,605177
2020-05,Manhattan,metrocard,Metrocard - Seniors & Disability,231887
2020-05,Manhattan,metrocard,Metrocard - Students,100988
2020-05,Manhattan,metrocard,Metrocard - Unlimited 30-Day,754857
2020-05,Manhattan,metrocard,Metrocard - Unlimited 7-Day,950439
2020-05,Manhattan,omny,OMNY - Full Fare,264316
2020-05,Queens,metrocard,Metrocard - Fair Fare,59879
2020-05,Queens,metrocard,Metrocard - Full Fare,1517729
2020-05,Queens,metrocard,Metrocard - Other,238697
2020-05,Queens,metrocard,Metrocard - Seniors & Disability,92476
2020-05,Queens,metrocard,Metrocard - Students,56343
2020-05,Queens,metrocard,Metrocard - Unlimited 30-Day,273975
2020-05,Queens,metrocard,Metrocard - Unlimited 7-Day,424631
2020-05,Queens,omny,OMNY - Full Fare,19911
2020-05,Staten Island,metrocard,Metrocard - Fair Fare,522
2020-05,Staten Island,metrocard,Metrocard - Full Fare,15506
2020-05,Staten Island,metrocard,Metrocard - Other,5060
2020-05,Staten Island,metrocard,Metrocard - Seniors & Disability,1084
2020-05,Staten Island,metrocard,Metrocard - Students,184
2020-05,Staten Island,metrocard,Metrocard - Unlimited 30-Day,1499
2020-05,Staten Island,metrocard,Metrocard - Unlimited 7-Day,2217
2020-05,Staten Island,omny,OMNY - Full Fare,838
2020-06,Bronx,metrocard,Metrocard - Fair Fare,161674
2020-06,Bronx,metrocard,Metrocard - Full Fare,1568745
2020-06,Bronx,metrocard,Metrocard - Other,268740
2020-06,Bronx,metrocard,Metrocard - Seniors & Disability,97694
2020-06,Bronx,metrocard,Metrocard - Students,122970
2020-06,Bronx,metrocard,Metrocard - Unlimited 30-Day,317056
2020-06,Bronx,metrocard,Metrocard - Unlimited 7-Day,579643
2020-06,Bronx,omny,OMNY - Full Fare,164210
2020-06,Brooklyn,metrocard,Metrocard - Fair Fare,226293
2020-06,Brooklyn,metrocard,Metrocard - Full Fare,3494225
2020-06,Brooklyn,metrocard,Metrocard - Other,513775
2020-06,Brooklyn,metrocard,Metrocard - Seniors & Disability,249391
2020-06,Brooklyn,metrocard,Metrocard - Students,187238
2020-06,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,687733
2020-06,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,882209
2020-06,Brooklyn,omny,OMNY - Full Fare,72351
2020-06,Manhattan,metrocard,Metrocard - Fair Fare,301253
2020-06,Manhattan,metrocard,Metrocard - Full Fare,5302007
2020-06,Manhattan,metrocard,Metrocard - Other,796985
2020-06,Manhattan,metrocard,Metrocard - Seniors & Disability,402858
2020-06,Manhattan,metrocard,Metrocard - Students,183415
2020-06,Manhattan,metrocard,Metrocard - Unlimited 30-Day,1158508
2020-06,Manhattan,metrocard,Metrocard - Unlimited 7-Day,1352899
2020-06,Manhattan,omny,OMNY - Full Fare,585013
2020-06,Queens,metrocard,Metrocard - Fair Fare,96150
2020-06,Queens,metrocard,Metrocard - Full Fare,2485180
2020-06,Queens,metrocard,Metrocard - Other,311434
2020-06,Queens,metrocard,Metrocard - Seniors & Disability,156089
2020-06,Queens,metrocard,Metrocard - Students,104872
2020-06,Queens,metrocard,Metrocard - Unlimited 30-Day,428624
2020-06,Queens,metrocard,Metrocard - Unlimited 7-Day,639459
2020-06,Queens,omny,OMNY - Full Fare,86483
