station_complex_id,year,dow,hora,share,total_anual
1,2022,2,9,0.01463090,3029411
1,2022,2,10,0.00891989,3029411
1,2022,2,11,0.00683136,3029411
1,2022,2,12,0.00605266,3029411
1,2022,2,13,0.00678977,3029411
1,2022,2,14,0.00904136,3029411
1,2022,2,15,0.00866769,3029411
1,2022,2,16,0.00933548,3029411
1,2022,2,17,0.00894893,3029411
1,2022,2,18,0.00695383,3029411
1,2022,2,19,0.00411400,3029411
1,2022,2,20,0.00302600,3029411
1,2022,2,21,0.00221990,3029411
1,2022,2,22,0.00203142,3029411
1,2022,2,23,0.00095926,3029411
1,2022,3,0,0.00051429,3029411
1,2022,3,1,0.00022315,3029411
1,2022,3,2,0.00014227,3029411
1,2022,3,3,0.00027068,3029411
1,2022,3,4,0.00089291,3029411
1,2022,3,5,0.00383078,3029411
1,2022,3,6,0.01059843,3029411
1,2022,3,7,0.02233437,3029411
1,2022,3,8,0.02969158,3029411
1,2022,3,9,0.01517391,3029411
1,2022,3,10,0.00950515,3029411
1,2022,3,11,0.00733773,3029411
1,2022,3,12,0.00648179,3029411
1,2022,3,13,0.00706705,3029411
1,2022,3,14,0.00948468,3029411
1,2022,3,15,0.00904400,3029411
1,2022,3,16,0.00966954,3029411
1,2022,3,17,0.00940645,3029411
1,2022,3,18,0.00721956,3029411
1,2022,3,19,0.00461146,3029411
1,2022,3,20,0.00328777,3029411
1,2022,3,21,0.00252392,3029411
1,2022,3,22,0.00230540,3029411
1,2022,3,23,0.00101604,3029411
1,2022,4,0,0.00054400,3029411
1,2022,4,1,0.00021918,3029411
1,2022,4,2,0.00013765,3029411
1,2022,4,3,0.00021588,3029411
1,2022,4,4,0.00089654,3029411
1,2022,4,5,0.00372482,3029411
1,2022,4,6,0.01024688,3029411
1,2022,4,7,0.02195641,3029411
1,2022,4,8,0.02815663,3029411
1,2022,4,9,0.01442987,3029411
1,2022,4,10,0.00945002,3029411
1,2022,4,11,0.00718721,3029411
1,2022,4,12,0.00635107,3029411
1,2022,4,13,0.00714099,3029411
1,2022,4,14,0.00948897,3029411
1,2022,4,15,0.00905093,3029411
1,2022,4,16,0.00972433,3029411
1,2022,4,17,0.00970321,3029411
1,2022,4,18,0.00730637,3029411
1,2022,4,19,0.00473987,3029411
1,2022,4,20,0.00332606,3029411
1,2022,4,21,0.00245724,3029411
1,2022,4,22,0.00225555,3029411
1,2022,4,23,0.00108008,3029411
1,2022,5,0,0.00057536,3029411
1,2022,5,1,0.00026771,3029411
1,2022,5,2,0.00017264,3029411
1,2022,5,3,0.00023404,3029411
1,2022,5,4,0.00088301,3029411
1,2022,5,5,0.00364031,3029411
1,2022,5,6,0.00921730,3029411
1,2022,5,7,0.01805698,3029411
1,2022,5,8,0.02088690,3029411
1,2022,5,9,0.01227697,3029411
1,2022,5,10,0.00872678,3029411
1,2022,5,11,0.00704163,3029411
1,2022,5,12,0.00661647,3029411
1,2022,5,13,0.00717928,3029411
1,2022,5,14,0.00989301,3029411
1,2022,5,15,0.00968736,3029411
1,2022,5,16,0.01015346,3029411
1,2022,5,17,0.01020132,3029411
1,2022,5,18,0.00874658,3029411
1,2022,5,19,0.00588167,3029411
1,2022,5,20,0.00430117,3029411
1,2022,5,21,0.00315012,3029411
1,2022,5,22,0.00273386,3029411
1,2022,5,23,0.00164157,3029411
1,2022,6,0,0.00096025,3029411
1,2022,6,1,0.00043474,3029411
1,2022,6,2,0.00024427,3029411
1,2022,6,3,0.00022810,3029411
1,2022,6,4,0.00041757,3029411
1,2022,6,5,0.00125932,3029411
1,2022,6,6,0.00242687,3029411
1,2022,6,7,0.00375056,3029411
1,2022,6,8,0.00545023,3029411
1,2022,6,9,0.00700532,3029411
1,2022,6,10,0.00731693,3029411
1,2022,6,11,0.00792167,3029411
1,2022,6,12,0.00803820,3029411
1,2022,6,13,0.00813690,3029411
1,2022,6,14,0.00816660,3029411
1,2022,6,15,0.00785334,3029411
1,2022,6,16,0.00720404,3029411
1,2022,6,17,0.00705352,3029411
1,2022,6,18,0.00628208,3029411
1,2022,6,19,0.00469365,3029411
1,2022,6,20,0.00374297,3029411
1,2022,6,21,0.00299035,3029411
1,2022,6,22,0.00250709,3029411
1,2022,6,23,0.00160493,3029411
1,2023,0,0,0.00089479,3286822
1,2023,0,1,0.00044724,3286822
1,2023,0,2,0.00025435,3286822
1,2023,0,3,0.00019198,3286822
1,2023,0,4,0.00039065,3286822
1,2023,0,5,0.00073110,3286822
1,2023,0,6,0.00170164,3286822
1,2023,0,7,0.00223133,3286822
1,2023,0,8,0.00359679,3286822
1,2023,0,9,0.00493881,3286822
1,2023,0,10,0.00593309,3286822
1,2023,0,11,0.00625985,3286822
1,2023,0,12,0.00642779,3286822
1,2023,0,13,0.00658904,3286822
1,2023,0,14,0.00608764,3286822
1,2023,0,15,0.00543199,3286822
1,2023,0,16,0.00474957,3286822
1,2023,0,17,0.00449340,3286822
1,2023,0,18,0.00394180,3286822
1,2023,0,19,0.00289550,3286822
1,2023,0,20,0.00238254,3286822
1,2023,0,21,0.00200437,3286822
1,2023,0,22,0.00195569,3286822
1,2023,0,23,0.00087379,3286822
1,2023,1,0,0.00048618,3286822
1,2023,1,1,0.00021845,3286822
1,2023,1,2,0.00015060,3286822
1,2023,1,3,0.00023914,3286822
1,2023,1,4,0.00075362,3286822
1,2023,1,5,0.00330471,3286822
1,2023,1,6,0.00845102,3286822
1,2023,1,7,0.01873755,3286822
1,2023,1,8,0.02345062,3286822
1,2023,1,9,0.01203168,3286822
1,2023,1,10,0.00813521,3286822
1,2023,1,11,0.00639980,3286822
1,2023,1,12,0.00610803,3286822
1,2023,1,13,0.00655101,3286822
1,2023,1,14,0.00849605,3286822
1,2023,1,15,0.00844494,3286822
1,2023,1,16,0.00776038,3286822
1,2023,1,17,0.00854138,3286822
1,2023,1,18,0.00589597,3286822
1,2023,1,19,0.00379576,3286822
1,2023,1,20,0.00282309,3286822
1,2023,1,21,0.00203996,3286822
1,2023,1,22,0.00187506,3286822
1,2023,1,23,0.00085067,3286822
1,2023,2,0,0.00042838,3286822
1,2023,2,1,0.00019928,3286822
1,2023,2,2,0.00013904,3286822
1,2023,2,3,0.00025861,3286822
1,2023,2,4,0.00085341,3286822
1,2023,2,5,0.00374070,3286822
1,2023,2,6,0.01001940,3286822
1,2023,2,7,0.02341228,3286822
1,2023,2,8,0.03264582,3286822
1,2023,2,9,0.01566194,3286822
1,2023,2,10,0.00927735,3286822
1,2023,2,11,0.00692584,3286822
1,2023,2,12,0.00608764,3286822
1,2023,2,13,0.00668366,3286822
1,2023,2,14,0.00897797,3286822
1,2023,2,15,0.00915139,3286822
1,2023,2,16,0.00900262,3286822
1,2023,2,17,0.00892503,3286822
1,2023,2,18,0.00671986,3286822
1,2023,2,19,0.00403855,3286822
1,2023,2,20,0.00306101,3286822
1,2023,2,21,0.00227880,3286822
1,2023,2,22,0.00211420,3286822
1,2023,2,23,0.00088566,3286822
1,2023,3,0,0.00048192,3286822
1,2023,3,1,0.00023214,3286822
1,2023,3,2,0.00014938,3286822
1,2023,3,3,0.00026926,3286822
1,2023,3,4,0.00084337,3286822
1,2023,3,5,0.00363208,3286822
1,2023,3,6,0.00990288,3286822
1,2023,3,7,0.02302771,3286822
1,2023,3,8,0.03321811,3286822
1,2023,3,9,0.01616060,3286822
1,2023,3,10,0.00967926,3286822
1,2023,3,11,0.00748230,3286822
1,2023,3,12,0.00662646,3286822
1,2023,3,13,0.00692858,3286822
1,2023,3,14,0.00928191,3286822
1,2023,3,15,0.00945138,3286822
1,2023,3,16,0.00908142,3286822
1,2023,3,17,0.00898406,3286822
