station_complex_id,dow,hora,ridership
107,2,12,1836
107,2,13,1899
107,2,14,2532
107,2,15,4929
107,2,16,8409
107,2,17,17236
107,2,18,11177
107,2,19,4768
107,2,20,2628
107,2,21,1697
107,2,22,738
107,2,23,462
107,3,0,623
107,3,1,202
107,3,2,130
107,3,3,54
107,3,4,79
107,3,5,89
107,3,6,423
107,3,7,762
107,3,8,1259
107,3,9,1110
107,3,10,1060
107,3,11,1428
107,3,12,2001
107,3,13,2036
107,3,14,2867
107,3,15,5060
107,3,16,8745
107,3,17,17406
107,3,18,11476
107,3,19,4871
107,3,20,2891
107,3,21,1705
107,3,22,895
107,3,23,511
107,4,0,655
107,4,1,108
107,4,2,51
107,4,3,39
107,4,4,53
107,4,5,89
107,4,6,476
107,4,7,812
107,4,8,1420
107,4,9,1189
107,4,10,1126
107,4,11,1526
107,4,12,2113
107,4,13,2178
107,4,14,3145
107,4,15,5663
107,4,16,9719
107,4,17,18929
107,4,18,12210
107,4,19,5169
107,4,20,3040
107,4,21,1937
107,4,22,930
107,4,23,611
107,5,0,686
107,5,1,151
107,5,2,56
107,5,3,37
107,5,4,48
107,5,5,95
107,5,6,419
107,5,7,865
107,5,8,1282
107,5,9,1288
107,5,10,1208
107,5,11,1609
107,5,12,2366
107,5,13,2712
107,5,14,4160
107,5,15,5907
107,5,16,9676
107,5,17,16537
107,5,18,9681
107,5,19,4322
107,5,20,2393
107,5,21,1485
107,5,22,974
107,5,23,791
107,6,0,773
107,6,1,210
107,6,2,105
107,6,3,65
107,6,4,23
107,6,5,48
107,6,6,54
107,6,7,186
107,6,8,308
107,6,9,464
107,6,10,712
107,6,11,1029
107,6,12,1393
107,6,13,1461
107,6,14,1491
107,6,15,1819
107,6,16,1891
107,6,17,1764
107,6,18,1467
107,6,19,1079
107,6,20,846
107,6,21,686
107,6,22,643
107,6,23,632
108,0,0,113
108,0,1,60
108,0,2,33
108,0,3,25
108,0,4,68
108,0,5,127
108,0,6,240
108,0,7,454
108,0,8,609
108,0,9,699
108,0,10,591
108,0,11,691
108,0,12,780
108,0,13,728
108,0,14,885
108,0,15,913
108,0,16,888
108,0,17,748
108,0,18,644
108,0,19,532
108,0,20,351
108,0,21,354
108,0,22,183
108,0,23,123
108,1,0,81
108,1,1,37
108,1,2,28
108,1,3,39
108,1,4,212
108,1,5,1256
108,1,6,2433
108,1,7,4443
108,1,8,3772
108,1,9,1546
108,1,10,909
