station_complex_id,dow,hora,share,total_prepandemia
449,0,19,0.00544520,756814
449,0,20,0.00425600,756814
449,0,21,0.00357023,756814
449,0,22,0.00236386,756814
449,0,23,0.00113370,756814
449,1,0,0.00061310,756814
449,1,1,0.00035015,756814
449,1,2,0.00024048,756814
449,1,3,0.00051928,756814
449,1,4,0.00208506,756814
449,1,5,0.00880666,756814
449,1,6,0.01561282,756814
449,1,7,0.01933897,756814
449,1,8,0.01606471,756814
449,1,9,0.01096042,756814
449,1,10,0.00840365,756814
449,1,11,0.00568171,756814
449,1,12,0.00518225,756814
449,1,13,0.00570682,756814
449,1,14,0.00631595,756814
449,1,15,0.00692376,756814
449,1,16,0.00651019,756814
449,1,17,0.00684184,756814
449,1,18,0.00492856,756814
449,1,19,0.00395209,756814
449,1,20,0.00282368,756814
449,1,21,0.00202692,756814
449,1,22,0.00121694,756814
449,1,23,0.00057214,756814
449,2,0,0.00027484,756814
449,2,1,0.00015327,756814
449,2,2,0.00024973,756814
449,2,3,0.00044661,756814
449,2,4,0.00221587,756814
449,2,5,0.00889122,756814
449,2,6,0.01478302,756814
449,2,7,0.01907999,756814
449,2,8,0.01364404,756814
449,2,9,0.00818959,756814
449,2,10,0.00627103,756814
449,2,11,0.00386753,756814
449,2,12,0.00365612,756814
449,2,13,0.00399173,756814
449,2,14,0.00474093,756814
449,2,15,0.00543727,756814
449,2,16,0.00508976,756814
449,2,17,0.00498009,756814
449,2,18,0.00313287,756814
449,2,19,0.00238500,756814
449,2,20,0.00163977,756814
449,2,21,0.00113238,756814
449,2,22,0.00098307,756814
449,2,23,0.00060781,756814
449,3,0,0.00036733,756814
449,3,1,0.00025634,756814
449,3,2,0.00035015,756814
449,3,3,0.00053117,756814
449,3,4,0.00217755,756814
449,3,5,0.00908149,756814
449,3,6,0.01541462,756814
449,3,7,0.01941428,756814
449,3,8,0.01428753,756814
449,3,9,0.00879476,756814
449,3,10,0.00674538,756814
449,3,11,0.00450969,756814
449,3,12,0.00405384,756814
449,3,13,0.00461276,756814
449,3,14,0.00544387,756814
449,3,15,0.00610982,756814
449,3,16,0.00546898,756814
449,3,17,0.00522718,756814
449,3,18,0.00360855,756814
449,3,19,0.00257659,756814
449,3,20,0.00173358,756814
449,3,21,0.00126055,756814
449,3,22,0.00111784,756814
449,3,23,0.00064084,756814
449,4,0,0.00031844,756814
449,4,1,0.00017706,756814
449,4,2,0.00026559,756814
449,4,3,0.00052192,756814
449,4,4,0.00234800,756814
449,4,5,0.00950167,756814
449,4,6,0.01631180,756814
449,4,7,0.02118090,756814
449,4,8,0.01595240,756814
449,4,9,0.00930083,756814
449,4,10,0.00692112,756814
449,4,11,0.00431017,756814
449,4,12,0.00388603,756814
449,4,13,0.00446477,756814
449,4,14,0.00548351,756814
449,4,15,0.00637541,756814
449,4,16,0.00604244,756814
449,4,17,0.00551523,756814
449,4,18,0.00365347,756814
449,4,19,0.00258452,756814
449,4,20,0.00183136,756814
449,4,21,0.00137286,756814
449,4,22,0.00111520,756814
449,4,23,0.00065802,756814
449,5,0,0.00034751,756814
449,5,1,0.00019820,756814
449,5,2,0.00027748,756814
449,5,3,0.00052853,756814
449,5,4,0.00242860,756814
449,5,5,0.00948978,756814
449,5,6,0.01611757,756814
449,5,7,0.02066954,756814
449,5,8,0.01541066,756814
449,5,9,0.00946468,756814
449,5,10,0.00715367,756814
449,5,11,0.00450969,756814
449,5,12,0.00398777,756814
449,5,13,0.00459162,756814
449,5,14,0.00561168,756814
449,5,15,0.00630538,756814
449,5,16,0.00607943,756814
449,5,17,0.00598562,756814
449,5,18,0.00423750,756814
449,5,19,0.00295581,756814
449,5,20,0.00220001,756814
449,5,21,0.00167148,756814
449,5,22,0.00133454,756814
449,5,23,0.00091436,756814
449,6,0,0.00048889,756814
449,6,1,0.00024709,756814
449,6,2,0.00025766,756814
449,6,3,0.00033033,756814
449,6,4,0.00202295,756814
449,6,5,0.00530513,756814
449,6,6,0.01182457,756814
449,6,7,0.01674255,756814
449,6,8,0.01793571,756814
449,6,9,0.01848010,756814
449,6,10,0.01673198,756814
449,6,11,0.01296884,756814
449,6,12,0.01190781,756814
449,6,13,0.01193028,756814
449,6,14,0.01310890,756814
449,6,15,0.01419768,756814
449,6,16,0.01242445,756814
449,6,17,0.01212715,756814
449,6,18,0.01086000,756814
449,6,19,0.00813542,756814
449,6,20,0.00693962,756814
449,6,21,0.00522585,756814
449,6,22,0.00450969,756814
449,6,23,0.00332050,756814
45,0,0,0.00067621,167108
45,0,1,0.00032314,167108
45,0,2,0.00020346,167108
45,0,3,0.00018551,167108
45,0,4,0.00041291,167108
45,0,5,0.00098739,167108
45,0,6,0.00199272,167108
45,0,7,0.00220815,167108
45,0,8,0.00325538,167108
45,0,9,0.00399143,167108
45,0,10,0.00454796,167108
45,0,11,0.00467362,167108
45,0,12,0.00502071,167108
45,0,13,0.00548149,167108
45,0,14,0.00470953,167108
45,0,15,0.00461378,167108
45,0,16,0.00381191,167108
45,0,17,0.00338105,167108
45,0,18,0.00280657,167108
45,0,19,0.00212437,167108
45,0,20,0.00179525,167108
45,0,21,0.00282452,167108
45,0,22,0.00286641,167108
45,0,23,0.00258515,167108
45,1,0,0.00048472,167108
45,1,1,0.00020346,167108
45,1,2,0.00011370,167108
45,1,3,0.00038897,167108
45,1,4,0.00117289,167108
45,1,5,0.00417694,167108
45,1,6,0.00860521,167108
45,1,7,0.02189602,167108
45,1,8,0.02719200,167108
45,1,9,0.01464921,167108
45,1,10,0.00742035,167108
45,1,11,0.00586447,167108
45,1,12,0.00579266,167108
45,1,13,0.00636116,167108
45,1,14,0.00678005,167108
45,1,15,0.00685186,167108
45,1,16,0.00609187,167108
45,1,17,0.00657060,167108
45,1,18,0.00482323,167108
45,1,19,0.00360844,167108
45,1,20,0.00256122,167108
45,1,21,0.00172942,167108
45,1,22,0.00181918,167108
45,1,23,0.00087369,167108
45,2,0,0.00058645,167108
45,2,1,0.00026929,167108
45,2,2,0.00017952,167108
45,2,3,0.00057448,167108
45,2,4,0.00149604,167108
45,2,5,0.00462575,167108
45,2,6,0.01031070,167108
45,2,7,0.02683893,167108
45,2,8,0.03281112,167108
45,2,9,0.01759341,167108
45,2,10,0.00818632,167108
45,2,11,0.00596022,167108
45,2,12,0.00596022,167108
45,2,13,0.00616368,167108
45,2,14,0.00671422,167108
45,2,15,0.00683989,167108
45,2,16,0.00612179,167108
45,2,17,0.00606793,167108
45,2,18,0.00558920,167108
45,2,19,0.00542763,167108
45,2,20,0.00290231,167108
45,2,21,0.00554731,167108
45,2,22,0.00530794,167108
45,2,23,0.00177131,167108
45,3,0,0.00119085,167108
45,3,1,0.00056849,167108
45,3,2,0.00038897,167108
45,3,3,0.00067621,167108
45,3,4,0.00144218,167108
45,3,5,0.00463772,167108
45,3,6,0.00993370,167108
45,3,7,0.02789813,167108
45,3,8,0.03141681,167108
45,3,9,0.01837734,167108
45,3,10,0.00881466,167108
45,3,11,0.00749814,167108
45,3,12,0.00675013,167108
45,3,13,0.00718098,167108
45,3,14,0.00779137,167108
45,3,15,0.00806066,167108
45,3,16,0.00668430,167108
45,3,17,0.00768365,167108
45,3,18,0.00582857,167108
45,3,19,0.00367427,167108
45,3,20,0.00292027,167108
45,3,21,0.00283649,167108
45,3,22,0.00250736,167108
45,3,23,0.00093353,167108
45,4,0,0.00050865,167108
45,4,1,0.00032314,167108
45,4,2,0.00013764,167108
45,4,3,0.00058645,167108
45,4,4,0.00148407,167108
45,4,5,0.00487110,167108
45,4,6,0.01068770,167108
45,4,7,0.02961558,167108
45,4,8,0.03576729,167108
45,4,9,0.01972377,167108
45,4,10,0.00929938,167108
