transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference
2020-08-15T17:00:00.000,subway,101,"Marcy Av (M,J,Z)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,10.0,0.0,40.70836,-73.957756,POINT (-73.957756 40.70836)
2020-08-15T17:00:00.000,subway,101,"Marcy Av (M,J,Z)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,18.0,0.0,40.70836,-73.957756,POINT (-73.957756 40.70836)
2020-08-15T17:00:00.000,subway,103,"Bowery (J,Z)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0,40.72028,-73.99391,POINT (-73.99391 40.72028)
2020-08-15T17:00:00.000,subway,103,"Bowery (J,Z)",Manhattan,metrocard,Metrocard - Full Fare,45.0,0.0,40.72028,-73.99391,POINT (-73.99391 40.72028)
2020-08-15T17:00:00.000,subway,103,"Bowery (J,Z)",Manhattan,metrocard,Metrocard - Other,2.0,0.0,40.72028,-73.99391,POINT (-73.99391 40.72028)
2020-08-15T17:00:00.000,subway,103,"Bowery (J,Z)",Manhattan,metrocard,Metrocard - Seniors & Disability,2.0,0.0,40.72028,-73.99391,POINT (-73.99391 40.72028)
2020-08-15T17:00:00.000,subway,103,"Bowery (J,Z)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,14.0,0.0,40.72028,-73.99391,POINT (-73.99391 40.72028)
2020-08-15T17:00:00.000,subway,103,"Bowery (J,Z)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,6.0,0.0,40.72028,-73.99391,POINT (-73.99391 40.72028)
2020-08-15T17:00:00.000,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Fair Fare,2.0,0.0,40.706474,-74.011055,POINT (-74.011055 40.706474)
2020-08-15T17:00:00.000,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Full Fare,32.0,0.0,40.706474,-74.011055,POINT (-74.011055 40.706474)
2020-08-15T17:00:00.000,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Other,5.0,0.0,40.706474,-74.011055,POINT (-74.011055 40.706474)
2020-08-15T17:00:00.000,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.706474,-74.011055,POINT (-74.011055 40.706474)
2020-08-15T17:00:00.000,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,8.0,0.0,40.706474,-74.011055,POINT (-74.011055 40.706474)
2020-08-15T17:00:00.000,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,6.0,0.0,40.706474,-74.011055,POINT (-74.011055 40.706474)
2020-08-15T17:00:00.000,subway,108,Middle Village-Metropolitan Av (M),Queens,metrocard,Metrocard - Fair Fare,2.0,0.0,40.711395,-73.8896,POINT (-73.8896 40.711395)
2020-08-15T17:00:00.000,subway,108,Middle Village-Metropolitan Av (M),Queens,metrocard,Metrocard - Full Fare,23.0,0.0,40.711395,-73.8896,POINT (-73.8896 40.711395)
2020-08-15T17:00:00.000,subway,108,Middle Village-Metropolitan Av (M),Queens,metrocard,Metrocard - Other,4.0,0.0,40.711395,-73.8896,POINT (-73.8896 40.711395)
2020-08-15T17:00:00.000,subway,108,Middle Village-Metropolitan Av (M),Queens,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.711395,-73.8896,POINT (-73.8896 40.711395)
2020-08-15T17:00:00.000,subway,108,Middle Village-Metropolitan Av (M),Queens,metrocard,Metrocard - Unlimited 30-Day,3.0,0.0,40.711395,-73.8896,POINT (-73.8896 40.711395)
2020-08-15T17:00:00.000,subway,108,Middle Village-Metropolitan Av (M),Queens,metrocard,Metrocard - Unlimited 7-Day,4.0,0.0,40.711395,-73.8896,POINT (-73.8896 40.711395)
2020-08-15T17:00:00.000,subway,109,Fresh Pond Rd (M),Queens,metrocard,Metrocard - Fair Fare,1.0,0.0,40.706184,-73.895874,POINT (-73.895874 40.706184)
2020-08-15T17:00:00.000,subway,109,Fresh Pond Rd (M),Queens,metrocard,Metrocard - Full Fare,35.0,0.0,40.706184,-73.895874,POINT (-73.895874 40.706184)
2020-08-15T17:00:00.000,subway,109,Fresh Pond Rd (M),Queens,metrocard,Metrocard - Other,7.0,0.0,40.706184,-73.895874,POINT (-73.895874 40.706184)
2020-08-15T17:00:00.000,subway,109,Fresh Pond Rd (M),Queens,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.706184,-73.895874,POINT (-73.895874 40.706184)
2020-08-15T17:00:00.000,subway,109,Fresh Pond Rd (M),Queens,metrocard,Metrocard - Unlimited 30-Day,4.0,0.0,40.706184,-73.895874,POINT (-73.895874 40.706184)
2020-08-15T17:00:00.000,subway,109,Fresh Pond Rd (M),Queens,metrocard,Metrocard - Unlimited 7-Day,5.0,0.0,40.706184,-73.895874,POINT (-73.895874 40.706184)
